trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,23.87552189998678,23.87552189998678,23.87552189998678,[-0.15648148148148147],[0.36574074074074076],[1],[0],[0],[1.8044956999947317],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
1,0,1,0,10,25.743100899999263,25.743100899999263,25.743100899999263,[0.44166666666666665],[0.046296296296296294],[1],[0],[0],[2.215185000008205],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
2,0,2,0,10,28.048948600000585,28.048948600000585,28.048948600000585,[-0.10740740740740741],[0.20185185185185187],[1],[0],[0],[1.8714387000072747],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
3,0,3,0,10,30.004161099990597,30.004161099990597,30.004161099990597,[0.2111111111111111],[-0.16111111111111112],[1],[0],[0],[2.1262278000067454],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
4,0,4,0,5,32.187103799995384,32.187103799995384,32.187103799995384,[-0.2564814814814815],[0.33055555555555555],[1],[0],[0],[1.7874261000106344],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
5,0,5,0,10,34.1679063999909,34.1679063999909,34.1679063999909,[0.2972222222222222],[-0.1398148148148148],[1],[0],[0],[1.8209419999911916],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
6,0,6,0,10,36.04028579998703,36.04028579998703,36.04028579998703,[0.11296296296296296],[-0.24814814814814815],[1],[0],[0],[1.6161062999890419],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
7,0,7,0,5,37.69672889998765,37.69672889998765,37.69672889998765,[-0.45],[-0.4777777777777778],[1],[0],[0],[1.7900224999903003],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
8,0,8,0,10,39.56998190000013,39.56998190000013,39.56998190000013,[0.4787037037037037],[-0.1675925925925926],[1],[0],[0],[2.097266500000842],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
9,0,9,0,10,41.724525399986305,41.724525399986305,41.724525399986305,[0.43425925925925923],[-0.04537037037037037],[1],[0],[0],[1.083009200010565],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
10,0,10,0,10,42.91241429999354,42.91241429999354,42.91241429999354,[0.2657407407407407],[-0.22962962962962963],[1],[0],[0],[2.069838899988099],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
11,0,11,0,5,45.035949899989646,45.035949899989646,45.035949899989646,[0.2740740740740741],[0.21203703703703702],[1],[0],[0],[1.2228173999901628],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
12,0,12,0,5,46.307159199990565,46.307159199990565,46.307159199990565,[0.1527777777777778],[0.4398148148148148],[1],[0],[0],[2.5025459000025876],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
13,0,13,0,10,48.9423492999922,48.9423492999922,48.9423492999922,[0.11481481481481481],[0.2222222222222222],[1],[0],[0],[1.280078499999945],['target'],1v,001,2023-09-28_16h10.08.025,visualsearch,2023.1.3,59.95937152587215,
