trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,29.105930399993667,29.105930399993667,29.105930399993667,[-0.06018518518518518],[-0.040740740740740744],[1],[0],[0],[1.7695613999967463],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
1,0,1,0,5,30.9123583999899,30.9123583999899,30.9123583999899,[0.017592592592592594],[-0.1287037037037037],[1],[0],[0],[1.0262266000063391],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
2,0,2,0,10,32.03886220000277,32.03886220000277,32.03886220000277,[0.14814814814814814],[-0.20462962962962963],[1],[0],[0],[1.1479981000011321],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
3,0,3,0,5,33.20359009999083,33.20359009999083,33.20359009999083,[0.3],[-0.037037037037037035],[1],[0],[0],[0.806580499993288],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
4,0,4,0,5,34.08205859998998,34.08205859998998,34.08205859998998,[-0.2037037037037037],[0.2722222222222222],[1],[0],[0],[1.3823448000039207],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
5,0,5,0,5,35.510296099993866,35.510296099993866,35.510296099993866,[0.1574074074074074],[0.2537037037037037],[1],[0],[0],[1.317606099997647],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
6,0,6,0,10,36.91119260000414,36.91119260000414,36.91119260000414,[-0.004629629629629629],[0.07777777777777778],[1],[0],[0],[1.5636213999969186],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
7,0,7,0,5,38.56760500000382,38.56760500000382,38.56760500000382,[-0.36666666666666664],[0.3925925925925926],[1],[0],[0],[2.0836788000015076],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
8,0,8,0,10,40.71899399999529,40.71899399999529,40.71899399999529,[0.09722222222222222],[0.45740740740740743],[1],[0],[0],[1.0952151999954367],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
9,0,9,0,5,41.864090299990494,41.864090299990494,41.864090299990494,[-0.04722222222222222],[0.041666666666666664],[1],[0],[0],[1.1553710000007413],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
10,0,10,0,5,43.07548050000332,43.07548050000332,43.07548050000332,[0.34814814814814815],[0.17962962962962964],[1],[0],[0],[1.669986599998083],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
11,0,11,0,5,44.83108109999739,44.83108109999739,44.83108109999739,[0.18703703703703703],[0.4222222222222222],[1],[0],[0],[1.010621599998558],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
12,0,12,0,5,45.882213899996714,45.882213899996714,45.882213899996714,[0.28055555555555556],[-0.09259259259259259],[1],[0],[0],[1.312661100004334],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
13,0,13,0,5,47.24291319999611,47.24291319999611,47.24291319999611,[0.2796296296296296],[-0.1638888888888889],[1],[0],[0],[1.7905548999988241],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
14,0,14,0,10,49.110430200002156,49.110430200002156,49.110430200002156,[-0.008333333333333333],[0.3990740740740741],[1],[0],[0],[1.5919266999990214],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
15,0,15,0,5,50.74932859999535,50.74932859999535,50.74932859999535,[0.33796296296296297],[-0.3472222222222222],[1],[0],[0],[1.8367341999983182],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
16,0,16,0,10,52.712020199993276,52.712020199993276,52.712020199993276,[0.09537037037037037],[0.11944444444444445],[1],[0],[0],[1.6799648000014713],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
17,0,17,0,5,54.45239199999196,54.45239199999196,54.45239199999196,[-0.12222222222222222],[-0.3055555555555556],[1],[0],[0],[1.53669350000564],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
18,0,18,0,5,56.02676649999921,56.02676649999921,56.02676649999921,[-0.13518518518518519],[0.06851851851851852],[1],[0],[0],[1.8332634999969741],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
19,0,19,0,10,57.97357709999778,57.97357709999778,57.97357709999778,[-0.33796296296296297],[-0.20462962962962963],[1],[0],[0],[2.1706916999974055],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
20,0,20,0,10,60.22582649999822,60.22582649999822,60.22582649999822,[0.03888888888888889],[-0.36203703703703705],[1],[0],[0],[1.1327483999921242],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
21,0,21,0,10,61.43898039999476,61.43898039999476,61.43898039999476,[-0.20555555555555555],[-0.1574074074074074],[1],[0],[0],[0.8961429000046337],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
22,0,22,0,5,62.38106020000123,62.38106020000123,62.38106020000123,[0.38333333333333336],[0.1935185185185185],[1],[0],[0],[1.681969500001287],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
23,0,23,0,5,64.14819599999464,64.14819599999464,64.14819599999464,[0.23333333333333334],[-0.18055555555555555],[1],[0],[0],[1.2930838000029325],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
24,0,24,0,10,65.586046299999,65.586046299999,65.586046299999,[-0.3611111111111111],[0.007407407407407408],[1],[0],[0],[2.120912300000782],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
25,0,25,0,10,67.80363870000292,67.80363870000292,67.80363870000292,[0.06666666666666667],[0.3824074074074074],[1],[0],[0],[1.9692277999856742],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
26,0,26,0,10,69.85251519999292,69.85251519999292,69.85251519999292,[0.07222222222222222],[-0.46296296296296297],[1],[0],[0],[2.146621000007144],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
27,0,27,0,5,72.0441165999946,72.0441165999946,72.0441165999946,[0.005555555555555556],[-0.462037037037037],[1],[0],[0],[1.1671235999965575],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
28,0,28,0,5,73.26602889999049,73.26602889999049,73.26602889999049,[-0.4527777777777778],[0.03333333333333333],[1],[0],[0],[1.7171713999996427],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
29,0,29,0,10,75.11438099999214,75.11438099999214,75.11438099999214,[0.4222222222222222],[0.4305555555555556],[1],[0],[0],[1.7876601999887498],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
30,0,30,0,10,76.98284919999423,76.98284919999423,76.98284919999423,[0.16296296296296298],[-0.21574074074074073],[1],[0],[0],[1.482004399993457],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
31,0,31,0,10,78.61677320000308,78.61677320000308,78.61677320000308,[-0.14907407407407408],[0.075],[1],[0],[0],[1.6363908000057563],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
32,0,32,0,10,80.3501169999945,80.3501169999945,80.3501169999945,[-0.01574074074074074],[0.10740740740740741],[1],[0],[0],[1.307360000006156],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
33,0,33,0,5,81.7017932000017,81.7017932000017,81.7017932000017,[0.03333333333333333],[0.3675925925925926],[1],[0],[0],[4.38117439999769],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
34,0,34,0,10,86.16688009999052,86.16688009999052,86.16688009999052,[0.3824074074074074],[0.4527777777777778],[1],[0],[0],[1.5279828000057023],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
35,0,35,0,10,87.77049609999813,87.77049609999813,87.77049609999813,[0.32592592592592595],[0.4462962962962963],[1],[0],[0],[1.9965511999907903],['target'],2s,001,2023-09-28_16h59.37.918,visualsearch,2023.1.3,59.923262268514826,
