trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,265.4504259999958,265.4504259999958,265.4504259999958,[0.17685185185185184],[-0.2324074074074074],[1],[0],[0],[1.4800385999988066],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
1,0,1,0,10,266.9972185999941,266.9972185999941,266.9972185999941,[-0.20185185185185187],[-0.20555555555555555],[1],[0],[0],[1.1444500999932643],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
2,0,2,0,10,268.2036786999961,268.2036786999961,268.2036786999961,[0.3472222222222222],[0.1037037037037037],[1],[0],[0],[1.000305199995637],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
3,0,3,0,10,269.2753914999921,269.2753914999921,269.2753914999921,[-0.4777777777777778],[-0.15185185185185185],[1],[0],[0],[1.2845884999987902],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
4,0,4,0,5,270.5891479999991,270.5891479999991,270.5891479999991,[-0.11944444444444445],[-0.058333333333333334],[1],[0],[0],[0.9863333999965107],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
5,0,5,0,10,271.64324340000167,271.64324340000167,271.64324340000167,[0.4722222222222222],[-0.43333333333333335],[1],[0],[0],[3.095950199989602],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
6,0,6,0,10,274.8075642999902,274.8075642999902,274.8075642999902,[-0.4166666666666667],[-0.1824074074074074],[1],[0],[0],[1.2427587999991374],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
7,0,7,0,10,276.11657299999206,276.11657299999206,276.11657299999206,[0.07962962962962963],[0.15925925925925927],[1],[0],[0],[1.0346810999908485],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
8,0,8,0,10,277.22626480000326,277.22626480000326,277.22626480000326,[0.30833333333333335],[0.21944444444444444],[1],[0],[0],[1.1682264000119176],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
9,0,9,0,5,278.4496073999908,278.4496073999908,278.4496073999908,[-0.17685185185185184],[-0.22685185185185186],[1],[0],[0],[2.4324583999987226],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
10,0,10,0,10,280.9434261999995,280.9434261999995,280.9434261999995,[0.026851851851851852],[0.2101851851851852],[1],[0],[0],[1.1126539999968372],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
11,0,11,0,10,282.1176737999922,282.1176737999922,282.1176737999922,[-0.025925925925925925],[0.000925925925925926],[1],[0],[0],[3.4000670999957947],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
12,0,12,0,5,285.563619499997,285.563619499997,285.563619499997,[0.20925925925925926],[-0.4462962962962963],[1],[0],[0],[2.7041902000055416],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
13,0,13,0,10,288.4396982999897,288.4396982999897,288.4396982999897,[0.3472222222222222],[0.21296296296296297],[1],[0],[0],[1.9091706000035629],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
14,0,14,0,5,290.3848386999889,290.3848386999889,290.3848386999889,[0.024074074074074074],[0.4074074074074074],[1],[0],[0],[1.4863476999889826],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
15,0,15,0,5,291.9759308999928,291.9759308999928,291.9759308999928,[0.42314814814814816],[0.3768518518518518],[1],[0],[0],[1.5801921999955084],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
16,0,16,0,10,293.6449896999984,293.6449896999984,293.6449896999984,[0.11851851851851852],[-0.37592592592592594],[1],[0],[0],[1.8539780999999493],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
17,0,17,0,5,295.53974419999577,295.53974419999577,295.53974419999577,[0.3296296296296296],[0.13055555555555556],[1],[0],[0],[1.6091980999917723],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
18,0,18,0,10,297.2867713000014,297.2867713000014,297.2867713000014,[0.012037037037037037],[0.1037037037037037],[1],[0],[0],[1.440666800001054],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
19,0,19,0,10,298.8141869999963,298.8141869999963,298.8141869999963,[0.39537037037037037],[-0.42592592592592593],[1],[0],[0],[1.9606862999935402],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
20,0,20,0,5,300.8106414999929,300.8106414999929,300.8106414999929,[-0.26666666666666666],[0.4],[1],[0],[0],[1.5450424000009662],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
21,0,21,0,10,302.42476680000254,302.42476680000254,302.42476680000254,[0.024074074074074074],[0.4583333333333333],[1],[0],[0],[1.2838237999967532],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
22,0,22,0,5,303.7554980999994,303.7554980999994,303.7554980999994,[0.21666666666666667],[-0.3638888888888889],[1],[0],[0],[1.6974210000043968],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
23,0,23,0,10,305.54316099999414,305.54316099999414,305.54316099999414,[0.2564814814814815],[-0.4064814814814815],[1],[0],[0],[1.6942188999964856],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
24,0,24,0,10,307.29948960000183,307.29948960000183,307.29948960000183,[0.3111111111111111],[-0.29444444444444445],[1],[0],[0],[1.7262389000097755],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
25,0,25,0,5,309.0743364999944,309.0743364999944,309.0743364999944,[0.0824074074074074],[-0.43796296296296294],[1],[0],[0],[1.8076742999983253],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
26,0,26,0,10,310.9683434999897,310.9683434999897,310.9683434999897,[-0.058333333333333334],[-0.09907407407407408],[1],[0],[0],[1.7686149000073783],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
27,0,27,0,10,312.8170459999965,312.8170459999965,312.8170459999965,[0.3425925925925926],[0.11388888888888889],[1],[0],[0],[2.0031975000019884],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
28,0,28,0,5,314.8522981999995,314.8522981999995,314.8522981999995,[0.10555555555555556],[-0.3768518518518518],[1],[0],[0],[1.9251904000120703],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
29,0,29,0,5,316.8300845999911,316.8300845999911,316.8300845999911,[0.4305555555555556],[0.14537037037037037],[1],[0],[0],[1.758648799994262],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
30,0,30,0,5,318.63983629998984,318.63983629998984,318.63983629998984,[0.4148148148148148],[0.43333333333333335],[1],[0],[0],[1.4386942999990424],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
31,0,31,0,10,320.1660217000026,320.1660217000026,320.1660217000026,[-0.3888888888888889],[0.44907407407407407],[1],[0],[0],[2.903715699998429],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
32,0,32,0,10,323.23141999999643,323.23141999999643,323.23141999999643,[-0.2388888888888889],[-0.4],[1],[0],[0],[1.790665300010005],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
33,0,33,0,10,325.0630036999937,325.0630036999937,325.0630036999937,[0.27314814814814814],[-0.19722222222222222],[1],[0],[0],[2.2580275000073016],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
34,0,34,0,5,327.3673440999992,327.3673440999992,327.3673440999992,[-0.08148148148148149],[0.18888888888888888],[1],[0],[0],[1.7582891999918502],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
35,0,35,0,5,329.1711481999955,329.1711481999955,329.1711481999955,[-0.16111111111111112],[-0.10462962962962963],[1],[0],[0],[1.242964100005338],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
36,0,36,0,5,330.46969250000257,330.46969250000257,330.46969250000257,[0.2175925925925926],[0.362962962962963],[1],[0],[0],[1.6082886999938637],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
37,0,37,0,10,332.196354300002,332.196354300002,332.196354300002,[0.2675925925925926],[-0.13425925925925927],[1],[0],[0],[1.6640305999899283],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
38,0,38,0,5,333.88810569999623,333.88810569999623,333.88810569999623,[0.3768518518518518],[0.3685185185185185],[1],[0],[0],[1.6331258999998681],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
39,0,39,0,10,335.5942028999998,335.5942028999998,335.5942028999998,[-0.2675925925925926],[-0.175],[1],[0],[0],[1.8214680000091903],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
