trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,21.083738000001176,21.083738000001176,21.083738000001176,[0.44814814814814813],[0.005555555555555556],[1],[0],[0],[1.6708577000099467],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
1,0,1,0,5,22.769373500006623,22.769373500006623,22.769373500006623,[-0.35185185185185186],[-0.32037037037037036],[1],[0],[0],[1.6123781000060262],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
2,0,2,0,10,24.43017680000048,24.43017680000048,24.43017680000048,[0.26481481481481484],[-0.2601851851851852],[1],[0],[0],[1.8397804999985965],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
3,0,3,0,10,26.29979910000111,26.29979910000111,26.29979910000111,[-0.44351851851851853],[0.17407407407407408],[1],[0],[0],[1.6665742000041064],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
4,0,4,0,5,27.978799800010165,27.978799800010165,27.978799800010165,[-0.2796296296296296],[0.4027777777777778],[1],[0],[0],[1.1991776000068057],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
5,0,5,0,5,29.20076870000048,29.20076870000048,29.20076870000048,[-0.15555555555555556],[-0.2712962962962963],[1],[0],[0],[1.362348299997393],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
6,0,6,0,5,30.577308400010224,30.577308400010224,30.577308400010224,[0.2388888888888889],[-0.4425925925925926],[1],[0],[0],[1.5165929999930086],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
7,0,7,0,5,32.12443060000078,32.12443060000078,32.12443060000078,[0.1648148148148148],[-0.16111111111111112],[1],[0],[0],[1.4889871000050334],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
8,0,8,0,10,33.645492200012086,33.645492200012086,33.645492200012086,[0.1685185185185185],[-0.08888888888888889],[1],[0],[0],[0.9866039999906207],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
9,0,9,0,5,34.64787900001102,34.64787900001102,34.64787900001102,[-0.028703703703703703],[-0.22037037037037038],[1],[0],[0],[1.6981216999993194],['target'],4b,001,2023-09-28_18h29.18.466,visualsearch,2023.1.3,59.87704847000457,
